Agua_(g),Proteina_(g),Lipidos_Tot_(g),Carbohitrado_(g),Fibra_TD_(g),Azucar_Tot_(g),Calcio_(mg),Hierro_(mg),Magnesio_(mg),Fosforo_(mg),Potasio_(mg),Energ_Kcal,Tasa_obesidad
90.98,2.94,1.99,3.45,0.4,2.53,140,0.49,10,51,141,45,7
92.69,2.38,0.77,3.51,0.3,2.61,123,0.43,15,87,117,30,1
88.38,2.1,0.64,8.24,0.7,7.13,123,0.59,15,87,144,47,10
92.03,2.62,0.85,3.85,0.6,0.41,123,0.46,13,103,117,34,5
89.89,1.65,0.62,7.2,0.8,3.5,82,0.44,24,62,64,43,3
92.67,2.47,0.04,4.14,0.2,3.65,116,0.35,10,87,105,28,0
88.38,2.47,0.04,8.51,0.2,3.65,116,0.35,10,87,105,44,7
91.53,2.88,1.65,3.29,0.4,2.47,123,0.44,16,87,123,41,5
91.32,2.47,1.44,4.12,0.4,2.88,123,0.44,16,87,123,41,1
86.39,2.06,1.44,9.47,0.8,7.82,123,0.59,16,103,144,58,3
92.77,2.47,0.82,3.29,0.4,2.47,123,0.44,16,62,123,29,4
91.95,2.47,0.82,4.12,0.4,2.88,123,0.44,16,87,123,33,3
87.63,2.06,0.62,9.05,0.8,7.82,123,0.59,16,87,144,49,10
91.13,2.88,2.06,3.29,0.4,2.47,144,0.44,16,87,144,45,6
90.92,2.47,1.44,4.53,0.8,2.88,165,0.44,16,87,123,41,1
89.69,2.47,1.44,5.76,2.1,2.88,123,0.44,16,103,123,41,10
82.96,2.46,1.64,12.3,0,9.84,16,0.3,0,62,123,74,3
87.62,2.47,1.44,7.82,0,5.76,123,0.44,0,87,123,53,2
86.8,2.06,1.44,9.05,0,7.41,123,0.44,0,87,123,58,8
85.56,2.06,1.44,10.29,0,9.47,123,0,0,87,132,62,5
27.11,6.59,9.58,54.46,2.3,16.05,135,1.85,17,391,133,330,0
39.1,6.7,7.1,43.5,2,4,249,2.5,25,169,147,266,1
34.8,7.7,2.6,53.6,2,4.88,32,3.18,17,96,111,274,5
35.3,7.9,5.7,49.6,2,5.43,57,2.97,19,115,146,285,8
4.7,7.6,13.77,71.73,3.4,10.32,172,3.58,22,303,114,446,9
54.7,7.7,10.8,25,3.4,22.06,100,1.67,17,117,134,229,7
37.7,6.9,11.4,41.4,2.7,6.67,200,2.39,17,153,121,296,3
39.5,6.5,10.8,40.7,2.7,9.32,189,2.27,16,145,123,285,2
33,7.1,12.3,44.2,2.7,4,259,2.61,23,177,145,316,7
48.37,5.23,6.83,37.75,1,8.32,78,5.67,14,215,90,233,8
29.1,8.5,7.3,53.4,1.9,7.29,60,2.96,19,126,152,316,2
10.28,16.8,14.29,56.46,2.3,36.4,429,10.28,336,560,294,422,4
3.28,5.71,28.57,61.21,2.5,55.74,126,1.6,47,145,260,525,5
3.6,5.8,24.9,63.8,3.4,3.99,103,2.33,66,199,313,466,5
3.2,10.2,31.1,53.4,2.8,23.74,108,1.45,67,227,339,508,9
0.94,8.51,30.57,58.01,1.7,53.96,251,0.91,0,206,438,531,2
1.5,7.65,29.66,59.4,3.4,51.5,189,2.35,63,208,372,535,6
74.52,2.76,1.7,19.74,0,2,102,0.06,12,216,131,105,9
75.9,2.9,1.73,18.43,0,2,109,0.05,13,83,137,101,2
74.59,3.15,1.92,18.89,0.4,2.9,104,0.4,19,238,168,105,1
1.9,13.1,33.5,49.7,4.7,37.59,104,1.31,96,212,502,519,5
11.2,4.1,14.8,68.4,3.1,62.22,86,1.71,45,143,514,390,3
1.5,9,34.4,53.4,6.2,43.9,224,1.63,90,264,444,526,9
1.52,7.64,29.37,59.67,3.3,51.06,187,2.65,62,207,370,511,7
6.3,4.01,17.23,71.17,1,59.69,115,0.49,20,67,124,456,3
1.7,4.33,21.13,71.19,2.8,63.68,105,1.11,44,146,261,492,5
1.5,4.78,23.36,68.4,2.7,62.54,116,1.23,16,212,444,502,0
4.6,5.08,20.93,67.95,0.9,63.93,145,0.42,0,71,188,474,10
1.19,4.78,23.36,68.4,2.7,62.54,116,1.23,14,264,124,502,4
73.45,3.99,4,17.6,0,4.82,139,0.34,16,130,207,122,0
73.6,3.1,3.1,18.8,1,7.82,102,0.29,18,239,166,111,6
73.13,3.16,3.15,19.64,0.8,11.96,106,0.34,20,87,150,120,2
73.94,3.28,2.06,19.76,0.8,11.85,112,0.34,21,94,156,111,5
74.4,2.9,2.3,19.2,0.1,7.82,102,0.15,14,201,132,107,3
72.42,3.25,2.82,20.68,0.1,2.47,103,0.37,13,85,128,121,0
73.97,2.84,2.89,19.43,0,2.88,103,0.06,12,81,131,115,4
73.5,2.7,2.9,19.7,0,18.03,101,0.07,12,197,128,114,4
74.16,2.76,1.71,20.2,0,9.84,101,0.06,11,207,130,107,1
74.44,4.13,2.83,17.61,0,4.63,146,0.33,17,137,214,112,9
74.49,2.8,2.9,18.92,0.1,17.09,99,0.04,9,74,119,113,1
73.43,3.29,1.63,20.81,0.1,9.47,105,0.37,13,87,130,111,9
75.01,2.88,1.67,19.56,0,16.05,105,0.06,12,82,133,105,4
75.86,2.94,1.73,18.53,0,4,108,0.06,12,83,137,101,9
80.39,3.24,2.06,13.47,0.5,4.88,126,0.3,20,98,182,85,9
82.11,3.06,1.77,12.34,0,5.43,121,0.05,13,95,142,77,2
75.6,3.1,2.5,17.8,0.2,10.32,113,0.2,16,89,159,104,7
79.29,3.2,3.34,13.34,0.5,22.06,124,0.3,20,97,179,96,2
80.98,3.03,3.07,12.21,0,6.67,119,0.05,12,93,140,89,4
75.71,2.99,1.72,18.82,0,9.32,113,0.06,12,86,163,103,1
74.63,2.95,3,18.68,0,4,111,0.06,12,84,160,113,8
1.19,9.76,35.73,51.72,3.6,44.59,99,1.5,59,227,471,568,5
1.6,9.53,31.34,55.38,3.3,40.33,70,1.3,49,144,295,521,3
4.1,8.66,23.42,61.6,2.9,53.08,61,0.96,48,130,284,474,5
1.61,5.94,31.72,59.78,2.4,55.45,160,1.11,13,93,160,546,4
6.99,4.28,19.17,68.49,0.7,58.65,141,0.34,12,86,471,463,1
6.99,3.82,20.42,67.56,2.8,54.08,83,1.2,12,84,295,458,1
2.42,7.41,33.18,55.25,5.7,50.75,169,2.29,64,188,413,549,3
5.78,3.3,18,71.85,1,61.08,91,0.5,17,144,160,463,10
73.62,2.62,2.8,19.76,0,17.38,94,0.05,9,206,112,115,3
74.96,2.74,2.89,18.44,0,15.98,101,0.04,10,74,118,111,3
73.4,2.9,3.5,19.1,0.1,2.9,100,0.15,14,200,129,117,1
74.6,3,3.8,17.7,0.2,37.59,111,0.2,16,88,157,114,5
73.2,2.7,2.9,20.1,0,62.22,99,0.06,11,205,127,115,1
61.74,4.02,6.46,26.82,0.2,24.37,135,0.27,17,116,208,182,10
61.6,4.89,8.28,23.93,1.2,4.27,63,0.99,17,112,129,190,0
8,3.78,11.95,73.01,2.4,37.81,943,0.85,20,74,157,415,1
10.87,16.19,8.92,60.21,5.1,25,668,4.98,250,673,289,386,1
12.8,4,11.3,70,2.7,23.9,208,3.8,7,45,48,397,4
12.8,4,11.3,70.1,2.7,23.9,208,3.8,7,45,49,398,7
12.75,4.1,11.3,70.2,2.7,23.4,200,3.6,7,45,48,398,6
10.21,7.4,6.17,74.69,2.5,7.4,493,3.55,19,92,111,384,6
1.37,4.06,30.42,62.82,1.6,40.99,109,3.67,41,144,340,541,8
56,4.3,1,37.7,0,37.7,154,0.04,45,123,333,167,4
3.2,9.6,31.2,54.1,3.8,23.63,108,1.45,67,227,339,536,9
73.5,4.4,0.8,19.7,2,12.61,159,0.04,40,129,339,107,3
